{'id': 0, 'pos': (18, 91), 'weight': 0.66, 'priority': 2, 'time_window': ('15:00', '18:00')}
{'id': 1, 'pos': (86, 77), 'weight': 4.58, 'priority': 5, 'time_window': ('10:00', '17:00')}
{'id': 2, 'pos': (100, 18), 'weight': 4.56, 'priority': 1, 'time_window': ('15:00', '20:00')}
{'id': 3, 'pos': (30, 69), 'weight': 2.4, 'priority': 4, 'time_window': ('10:00', '20:00')}
{'id': 4, 'pos': (13, 65), 'weight': 4.71, 'priority': 5, 'time_window': ('13:00', '17:00')}
{'id': 5, 'pos': (7, 57), 'weight': 4.32, 'priority': 2, 'time_window': ('13:00', '20:00')}
{'id': 6, 'pos': (53, 91), 'weight': 4.77, 'priority': 2, 'time_window': ('09:00', '20:00')}
{'id': 7, 'pos': (83, 72), 'weight': 1.41, 'priority': 2, 'time_window': ('10:00', '17:00')}
{'id': 8, 'pos': (47, 96), 'weight': 0.71, 'priority': 3, 'time_window': ('10:00', '19:00')}
{'id': 9, 'pos': (77, 82), 'weight': 0.94, 'priority': 4, 'time_window': ('10:00', '18:00')}
{'id': 10, 'pos': (19, 10), 'weight': 4.1, 'priority': 3, 'time_window': ('14:00', '20:00')}
{'id': 11, 'pos': (54, 94), 'weight': 3.96, 'priority': 2, 'time_window': ('15:00', '20:00')}
{'id': 12, 'pos': (7, 48), 'weight': 3.5, 'priority': 2, 'time_window': ('10:00', '16:00')}
{'id': 13, 'pos': (55, 90), 'weight': 2.37, 'priority': 4, 'time_window': ('13:00', '20:00')}
{'id': 14, 'pos': (5, 6), 'weight': 0.82, 'priority': 4, 'time_window': ('10:00', '20:00')}
{'id': 15, 'pos': (26, 72), 'weight': 2.46, 'priority': 2, 'time_window': ('09:00', '20:00')}
{'id': 16, 'pos': (84, 58), 'weight': 3.47, 'priority': 1, 'time_window': ('14:00', '17:00')}
{'id': 17, 'pos': (25, 22), 'weight': 2.05, 'priority': 4, 'time_window': ('11:00', '18:00')}
{'id': 18, 'pos': (49, 73), 'weight': 1.23, 'priority': 5, 'time_window': ('14:00', '18:00')}
{'id': 19, 'pos': (0, 43), 'weight': 2.62, 'priority': 2, 'time_window': ('13:00', '20:00')}
